K,Cluster,Centroid
2,1,"[0.214849,0.326527,0.274715,0.655062,0.804301,0.680761,0.625606]"
2,2,"[0.850817,0.475851,0.451932,0.427112,0.222268,0.352596,0.427857]"
3,1,"[0.214849,0.326527,0.274715,0.655062,0.804301,0.680761,0.625606]"
3,2,"[0.242594,0.878013,0.843143,0.464722,0.343194,0.226639,0.399811]"
3,3,"[0.871586,0.462118,0.438574,0.425828,0.218138,0.356897,0.428815]"
4,1,"[0.214849,0.326527,0.274715,0.655062,0.804301,0.680761,0.625606]"
4,2,"[0.242594,0.878013,0.843143,0.464722,0.343194,0.226639,0.399811]"
4,3,"[0.896543,0.629597,0.527005,0.410031,0.204432,0.211477,0.281049]"
4,4,"[0.842688,0.268196,0.336181,0.444119,0.234009,0.525279,0.599912]"
5,1,"[0.214849,0.326527,0.274715,0.655062,0.804301,0.680761,0.625606]"
5,2,"[0.242594,0.878013,0.843143,0.464722,0.343194,0.226639,0.399811]"
5,3,"[0.896543,0.629597,0.527005,0.410031,0.204432,0.211477,0.281049]"
5,4,"[0.846415,0.267801,0.336181,0.44461 ,0.233211,0.525718,0.595655]"
5,5,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
6,1,"[0.09098 ,0.490212,0.544701,0.777861,0.77877 ,0.521185,0.422481]"
6,2,"[0.250067,0.279989,0.197955,0.620149,0.81156 ,0.72613 ,0.683357]"
6,3,"[0.242594,0.878013,0.843143,0.464722,0.343194,0.226639,0.399811]"
6,4,"[0.896543,0.629597,0.527005,0.410031,0.204432,0.211477,0.281049]"
6,5,"[0.846415,0.267801,0.336181,0.44461 ,0.233211,0.525718,0.595655]"
6,6,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
7,1,"[0.09098 ,0.490212,0.544701,0.777861,0.77877 ,0.521185,0.422481]"
7,2,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
7,3,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
7,4,"[0.242594,0.878013,0.843143,0.464722,0.343194,0.226639,0.399811]"
7,5,"[0.896543,0.629597,0.527005,0.410031,0.204432,0.211477,0.281049]"
7,6,"[0.846415,0.267801,0.336181,0.44461 ,0.233211,0.525718,0.595655]"
7,7,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
8,1,"[0.09098 ,0.490212,0.544701,0.777861,0.77877 ,0.521185,0.422481]"
8,2,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
8,3,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
8,4,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
8,5,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
8,6,"[0.896543,0.629597,0.527005,0.410031,0.204432,0.211477,0.281049]"
8,7,"[0.846415,0.267801,0.336181,0.44461 ,0.233211,0.525718,0.595655]"
8,8,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
9,1,"[0.09098 ,0.490212,0.544701,0.777861,0.77877 ,0.521185,0.422481]"
9,2,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
9,3,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
9,4,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
9,5,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
9,6,"[0.896543,0.629597,0.527005,0.410031,0.204432,0.211477,0.281049]"
9,7,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
9,8,"[0.870401,0.356193,0.343645,0.309115,0.191133,0.489524,0.637711]"
9,9,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
10,1,"[0.09098 ,0.490212,0.544701,0.777861,0.77877 ,0.521185,0.422481]"
10,2,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
10,3,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
10,4,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
10,5,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
10,6,"[0.897744,0.627864,0.526582,0.413059,0.203416,0.208518,0.28224 ]"
10,7,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
10,8,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
10,9,"[0.870401,0.356193,0.343645,0.309115,0.191133,0.489524,0.637711]"
10,10,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
11,1,"[0.09098 ,0.490212,0.544701,0.777861,0.77877 ,0.521185,0.422481]"
11,2,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
11,3,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
11,4,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
11,5,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
11,6,"[0.897744,0.627864,0.526582,0.413059,0.203416,0.208518,0.28224 ]"
11,7,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
11,8,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
11,9,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
11,10,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
11,11,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
12,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
12,2,"[0.108577,0.411428,0.497101,0.812096,0.819284,0.579226,0.419966]"
12,3,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
12,4,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
12,5,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
12,6,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
12,7,"[0.897744,0.627864,0.526582,0.413059,0.203416,0.208518,0.28224 ]"
12,8,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
12,9,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
12,10,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
12,11,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
12,12,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
13,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
13,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
13,3,"[0.099986,0.426087,0.486823,0.815454,0.820121,0.582149,0.417995]"
13,4,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
13,5,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
13,6,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
13,7,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
13,8,"[0.897744,0.627864,0.526582,0.413059,0.203416,0.208518,0.28224 ]"
13,9,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
13,10,"[0.804087,0.111815,0.32301 ,0.68372 ,0.307465,0.589588,0.52144 ]"
13,11,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
13,12,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
13,13,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
14,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
14,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
14,3,"[0.099986,0.426087,0.486823,0.815454,0.820121,0.582149,0.417995]"
