K,Cluster,Centroid
2,1,"[ 1.649583,-0.317285,-0.069608,-0.421708,-0.705998,-0.187603, 0.052619]"
2,2,"[-1.29499 ,-0.759489,-0.506351, 0.245499, 0.931387, 0.642483, 0.741461]"
3,1,"[ 1.649583,-0.317285,-0.069608,-0.421708,-0.705998,-0.187603, 0.052619]"
3,2,"[-1.297848,-0.821793,-0.549288, 0.262487, 0.965675, 0.677608, 0.763159]"
3,3,"[-1.20247 , 1.257599, 0.883718,-0.304497,-0.17869 ,-0.494669, 0.039008]"
4,1,"[ 1.649583,-0.317285,-0.069608,-0.421708,-0.705998,-0.187603, 0.052619]"
4,2,"[-1.297848,-0.821793,-0.549288, 0.262487, 0.965675, 0.677608, 0.763159]"
4,3,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
4,4,"[-1.435353, 1.330315,-0.552153,-0.331043, 0.204465,-0.01765 , 0.801419]"
5,1,"[ 1.770858, 0.341728, 0.203614,-0.476925,-0.767904,-0.582667,-0.488704]"
5,2,"[ 1.509359,-1.07927 ,-0.38552 ,-0.357864,-0.63442 , 0.26919 , 0.678524]"
5,3,"[-1.297848,-0.821793,-0.549288, 0.262487, 0.965675, 0.677608, 0.763159]"
5,4,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
5,5,"[-1.435353, 1.330315,-0.552153,-0.331043, 0.204465,-0.01765 , 0.801419]"
6,1,"[ 1.770858, 0.341728, 0.203614,-0.476925,-0.767904,-0.582667,-0.488704]"
6,2,"[ 1.509359,-1.07927 ,-0.38552 ,-0.357864,-0.63442 , 0.26919 , 0.678524]"
6,3,"[-1.300501,-0.81812 ,-0.554778, 0.259853, 0.965958, 0.680637, 0.766951]"
6,4,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
6,5,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
6,6,"[-1.435353, 1.330315,-0.552153,-0.331043, 0.204465,-0.01765 , 0.801419]"
7,1,"[ 1.770858, 0.341728, 0.203614,-0.476925,-0.767904,-0.582667,-0.488704]"
7,2,"[ 1.525669,-1.081116,-0.385694,-0.356269,-0.636282, 0.270493, 0.6632  ]"
7,3,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
7,4,"[-1.300501,-0.81812 ,-0.554778, 0.259853, 0.965958, 0.680637, 0.766951]"
7,5,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
7,6,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
7,7,"[-1.435353, 1.330315,-0.552153,-0.331043, 0.204465,-0.01765 , 0.801419]"
8,1,"[ 1.770858, 0.341728, 0.203614,-0.476925,-0.767904,-0.582667,-0.488704]"
8,2,"[ 1.525669,-1.081116,-0.385694,-0.356269,-0.636282, 0.270493, 0.6632  ]"
8,3,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
8,4,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
8,5,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
8,6,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
8,7,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
8,8,"[-1.435353, 1.330315,-0.552153,-0.331043, 0.204465,-0.01765 , 0.801419]"
9,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
9,2,"[ 1.784672, 0.33455 , 0.190188,-0.488377,-0.77545 ,-0.574148,-0.471436]"
9,3,"[ 1.525669,-1.081116,-0.385694,-0.356269,-0.636282, 0.270493, 0.6632  ]"
9,4,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
9,5,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
9,6,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
9,7,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
9,8,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
9,9,"[-1.435353, 1.330315,-0.552153,-0.331043, 0.204465,-0.01765 , 0.801419]"
10,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
10,2,"[ 1.784672, 0.33455 , 0.190188,-0.488377,-0.77545 ,-0.574148,-0.471436]"
10,3,"[ 1.525669,-1.081116,-0.385694,-0.356269,-0.636282, 0.270493, 0.6632  ]"
10,4,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
10,5,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
10,6,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
10,7,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
10,8,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
10,9,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
10,10,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
11,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
11,2,"[ 1.784672, 0.33455 , 0.190188,-0.488377,-0.77545 ,-0.574148,-0.471436]"
11,3,"[ 1.304296,-1.656649,-0.429786, 0.326789,-0.407033, 0.449461, 0.412922]"
11,4,"[ 1.660744,-0.729943,-0.358791,-0.773051,-0.776163, 0.161292, 0.815912]"
11,5,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
11,6,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
11,7,"[-1.871512,-0.144764, 0.238654, 0.628858, 0.887084, 0.245391, 0.016289]"
11,8,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
11,9,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
11,10,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
11,11,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
12,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
